GeoFips,County,State,Year Opened
04013,Maricopa,Arizona,2007
04013,Maricopa,Arizona,2008
04013,Maricopa,Arizona,2010
04013,Maricopa,Arizona,2011
06071,San Bernardino,California,2012
10003,New Castle,Delaware,2012
18011,White,Indiana,2008
18063,Hendricks,Indiana,2008
18097,Marion,Indiana,2011
18063,Hendricks,Indiana,2011
18019,Clark,Indiana,2012
21015,Boone,Kentucky,2005
21015,Boone,Kentucky,2005
21067,Fayette,Kentucky,2006
21111,Jefferson,Kentucky,2005
21029,Bullitt,Kentucky,2012
21029,Bullitt,Kentucky,2012
32003,Clark,Nevada,2008
32031,Washoe ,Nevada,2010
33011,Hillsborough,New Hampshire,2007
42077,Lehigh,Pennsylvania,2010
42077,Lehigh,Pennsylvania,2011
42127,Wayne,Pennsylvania,2010
42041,Cumberland ,Pennsylvania,2010
42133,York,Pennsylvania,2010
42041,Cumberland ,Pennsylvania,2010
45063,Lexington,South Carolina,2011
45083,Spartanburg,South Carolina,2012
47149,Rutherford,Tennessee,2012
47065,Hamilton ,Tennessee,2011
47011,Bradley,Tennessee,2011
51041,Chesterfield,Virginia,2012
53053,Pierce,Washington,2011
